Company ID,Companies,Exchange,Ticker,Description,Fiscal Period,Revenue,Gross Profit,EBITDA,Net Income,Enterprise Value,Primary Industry Sector,Ownership Status,Company Financing Status,Verticals,HQ Location,Last Financing Date,Last Financing Deal Type,Last Financing Size,PitchBook Link
48173-32,Ameresco (NYS: AMRC),NYS,AMRC,"Ameresco Inc provides energy efficiency solutions for facilities in North America and Europe. It focuses on projects that reduce energy, also focuses on the operation and maintenance costs of governmental, educational, utility, healthcare, and other institutional, commercial, and industrial entities facilities. Ameresco distributes solar energy products and systems, such as PV panels, solar regulators, solar charge controllers, inverters, solar-powered lighting systems, solar-powered water pumps, solar panel mounting hardware, and other system components. The company's segment includes U.S. Regions; U.S. Federal; Canada; Alternative Fuels; Non-Solar DG and All Other. It derives a majority of revenue from the U.S. Regions segment.",TTM 3Q2023,"1,264.99",233.85,132.97,46.67,"3,198.00",Business Products and Services (B2B),Publicly Held,Corporation,"CleanTech, Industrials, TMT","Framingham, MA",04-Mar-2022,Debt Refinancing,495.00,View company online
98622-91,Stredoslovenská energetika,,,"Provider of electricity power services. The company operates as an energy supply company and supplies and purchases electricity, maintains and constructs electricity network and facilities.",FY 2011,"1,088.60",,,94.51,,Energy,Privately Held (backing),Formerly PE-Backed,,"Zilina, Slovakia",01-Aug-2015,Secondary Transaction - Private,,View company online
154645-57,Zome Energy Networks,,,"Developer of cloud-based software intended for the residential and commercial energy sector that works with building owners and energy providers. The company's platform utilizes cloud computing, artificial intelligence, the internet of things and blockchain to connect and control smart energy devices directly with the electric grid, helping energy providers balance supply and demand by bridging the evolving energy ecosystem and consumer smart energy devices.",FY 2022,"1,087.15",,,,,Information Technology,Privately Held (backing),Private Equity-Backed,"CleanTech, SaaS",,01-Aug-2022,PE Growth/Expansion,,View company online
168941-80,ProsumerGrid,,,"Operator of an energy optimization platform intended to offer innovative tools and support for managing the transformation of energy and power systems. The company's platform simulates the operation of distribution system operators reduces energy consumption and electricity costs of households and commercial buildings and tells electric utilities where on their grid is the optimal location and size of solar, solar-storage, EVs, generators, and demand response, enabling clients to analyze and plan resource portfolios with traditional generators and renewables.",FY 2022,"1,067.00",,,0.26,,Information Technology,Privately Held (backing),Accelerator/Incubator Backed,"CleanTech, Climate Tech, TMT","Brookhaven, GA",30-Aug-2023,Accelerator/Incubator,0.02,View company online
60893-11,Growatt,,,"Manufacturer and researcher of solar grid-connected, energy storage systems, smart charging piles, and provider of smart energy management solutions. The company offers a line of PV inverters ranging from 1 kilowatt to 1 megawatt, along with related smart-monitoring systems, all of which are applicable for residential and commercial roof and ground PV plants. The company exports its products to countries in the Americas, Europe, Australia and Asia.",FY 2022,"1,053.23",,,,,Energy,In IPO Registration,Venture Capital-Backed,"CleanTech, LOHAS & Wellness, TMT","Shenzhen, China",14-Sep-2023,Buyout/LBO,"1,000.00",View company online
63845-83,Sunnova Energy (NYS: NOVA),NYS,NOVA,"Sunnova Energy International Inc is a residential solar and energy storage service provider company. It offers services such as operations and maintenance, monitoring, repairs and replacements, equipment upgrades and onsite power optimization. The products and services offered by the group include Add-on battery storage, Home solar protection plans, New solar battery storage, and various other solar systems.",TTM 3Q2023,722.06,284.90,1.34,-251.22,"8,059.37",Energy,Publicly Held,Formerly PE-Backed,CleanTech,"Houston, TX",22-Sep-2023,Debt - General,400.00,View company online
226164-61,Esforin,,,"Operator of a direct energy marketing platform intended to provide fully automated, digital, and modularly integrable energy services. The company's platform offers group and portfolio management, market access to electricity, direct marketing of electricity from renewable energies, market communication, and marketing of electricity flexibility, enabling clients to reduce energy costs while stabilizing the power grid and thus promoting energy turnaround.",FY 2022,680.45,,1.41,1.06,,Energy,Privately Held (backing),Venture Capital-Backed,CleanTech,"Essen, Germany",24-May-2023,Later Stage VC,8.22,View company online
11702-44,TransMontaigne Partners,,,"Provider of a diversified network of midstream terminals intended to store petroleum and other liquid products. The company offers terminaling, storage, transportation and related services for customers engaged in the distribution and marketing of light refined petroleum products, heavy refined petroleum products, crude oil, chemicals, fertilizers and other liquid products, enabling customers to maximize their profitability.",TTM 3Q2023,638.44,141.03,170.32,,,Energy,Privately Held (backing),Private Equity-Backed,"Industrials, Infrastructure, Oil & Gas","Denver, CO",08-Nov-2021,Dividend Recapitalization,,View company online
107858-53,Alfen (AMS: ALFEN),AMS,ALFEN,"Alfen NV is engaged in the business of developing, producing and selling various products, systems and services related to the electricity grid. The company's business segments are Smart Grid Solutions, Energy Storage Systems, and EV Charging Equipment. The Netherlands is company's main geographic market, followed by Belgium and Finland.",TTM 2Q2023,479.53,156.12,64.74,39.63,"1,447.13",Business Products and Services (B2B),Publicly Held,Formerly PE-Backed,"CleanTech, Climate Tech, Industrials, Manufacturing, TMT","Almere, Netherlands",19-Jun-2020,Public Investment 2nd Offering,56.62,View company online
54221-05,Stem (NYS: STEM),NYS,STEM,"Stem is a provider of energy storage systems. The company bundles third-party hardware with its proprietary Athena software to provide customers a turnkey solution. Stem sells its solutions to commercial and industrial customers as well as independent power producers and renewable developers. Its solutions help customers maximize renewable energy generation and help build a cleaner and more resilient grid. In 2022, the company acquired AlsoEnergy, a provider of solar asset management software.",TTM 3Q2023,449.54,5.11,-78.52,-138.00,"1,057.28",Energy,Publicly Held,Formerly VC-backed,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, CleanTech, Climate Tech","San Francisco, CA",29-Apr-2021,PIPE,225.00,View company online
10851-04,Enel X,,,"EnerNOC is a provider of energy intelligence software (EIS) and demand response services. The company's SaaS platform helps enterprises control energy costs, mitigate risk and streamline compliance and sustainability reporting. It also offers access to demand response programs worldwide, offering enterprises a valuable payment stream to further enhance bottom-line results and utilities and grid operators a reliable, cost-effective demand-side resource.",TTM 2Q2017,332.68,124.70,-21.75,-60.36,286.68,Information Technology,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"SaaS, TMT","Boston, MA",07-Aug-2017,Merger/Acquisition,250.00,View company online
234371-71,Energy Vault (NYS: NRGV),NYS,NRGV,"Energy Vault Holdings Inc is a grid-scale energy storage company that is driving a faster transition to renewable power by solving the intermittence issues that are inherent to the most prevalent sources of renewable energy, solar and wind. Geographical presence in United States, China and Other. Majority of its revenue comes from U.S.",TTM 3Q2023,323.63,29.45,-103.80,-99.55,258.65,Energy,Publicly Held,Formerly VC-backed,"CleanTech, Climate Tech, Construction Technology, LOHAS & Wellness","Westlake Village, CA",18-Feb-2022,PIPE,200.00,View company online
99404-11,Limejump,,,"Developer of a virtual energy management platform designed to provide smart, simple, and transparent access to energy markets. The company's platform connects smart meters, control devices, weather data, relevant market prices, and market mechanisms as well as integrates batteries and other assets to improve price arbitrage, ancillary services, and real-time optimization opportunities, enabling businesses to regulate and manage their electricity usage as well as on-site generation.",FY 2022,323.06,8.43,-13.62,-11.48,,Information Technology,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT","London, United Kingdom",27-Feb-2019,Merger/Acquisition,,View company online
58008-79,Muehlhan Group (HAM: M4N),HAM,M4N,"Muehlhan AG is a Germany-based holding company operating in four segments namely; Ship segment comprises surface coating maintenance and renovation services, such as repair work on hull plankings, as well as the restoration of water, ballast, fuel, and cargo tanks; Oil and gas segment comprises of surface and fire protection, insulation, and scaffolding services; Renewables segment comprises of surface-protection services to the renewable energy market, and Construction/Infrastructure segment comprises of provides coating and scaffolding solutions to industrial customers. It generates contributes a majority of revenue from the Renewables segment. Most of its revenue comes from the European market, while it also has a presence in the Middle East, North America, and the Rest of the world.",FY 2022,319.29,,17.25,6.70,78.99,Financial Services,Publicly Held,Formerly PE-Backed,"Industrials, Oil & Gas","Hamburg, Germany",26-Oct-2006,IPO,67.30,View company online
186120-91,Octillion Power Systems,,,"Manufacturer of electric vehicle battery products intended to focus on designing and building lithium-ion battery systems for electric cars, trucks, and buses. The company's products undergo a design process, including extensive thermal modeling, fully integrated battery management systems, and standardized production processes that offer a customized package service, enabling industries to get simple and rapid access to energy storage systems.",FY 2023,317.60,,,,,Business Products and Services (B2B),In IPO Registration,Venture Capital-Backed,"CleanTech, Industrials, Mobility Tech","Richmond, CA",13-Dec-2023,IPO,,View company online
51753-52,Hasi (NYS: HASI),NYS,HASI,"Hannon Armstrong Sustainable Infrastructure Capital Inc provides debt and equity financing to the energy markets in the United States. The company focuses on investments in two types of projects: energy-efficiency projects and renewable-energy projects. Energy-efficiency projects reduce the energy use and energy cost of building or facility through the improvement or installation of building components including heat, ventilation, and air conditioning systems; lights; energy controls; roofs; windows; building shells; and heat and power systems. Renewable-energy projects deploy cleaner energy sources such as solar and wind to generate power production. The company also provides financing solutions for other projects to improve energy efficiency and the environment.",TTM 3Q2023,291.78,,,39.15,"5,455.13",Financial Services,Publicly Held,Corporate Backed or Acquired,"CleanTech, Impact Investing, TMT","Annapolis, MD",04-Dec-2023,Debt - General,550.00,View company online
100885-24,Arcadia,,,"Developer of a clean energy tech platform designed to facilitate easy access to clean energy. The company's platform facilitates data and billing integrations across utilities in the country and aggregates clean energy supply, enabling users to ensure optimal energy control.",FY 2022,289.50,,,,,Information Technology,Privately Held (backing),Private Equity-Backed,"CleanTech, Climate Tech","Greenwood Village, CO",16-Dec-2022,PE Growth/Expansion,125.00,View company online
51043-42,CPower,,,"Provider of energy conservation and management consulting services intended to serve commercial, industrial and government organizations in the United States energy markets. The company's services offer revenue generation, energy conservation measurement, usage forecasting and strategic consulting services, enabling clients to save energy costs, earn revenue through energy curtailment, enhance their sustainability efforts and contribute to a balanced, reliable grid.",FY 2021,230.00,,,,,Business Products and Services (B2B),Privately Held (backing),Private Equity-Backed,,"Baltimore, MD",21-Dec-2018,Buyout/LBO,,View company online
227224-54,EcoFlow,,,"Developer of mobile energy storage technology designed to provide portable power stations. The company's battery-powered generator and other products foster inclusion and help raise standards of living in areas of the world where power shortages limit economic growth and development, enabling users to access eco-friendly and affordable portable power stations for personal and professional use.",FY 2021,220.00,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, TMT","Shenzhen, China",10-Jun-2021,Later Stage VC,100.00,View company online
51554-35,CNano (SHG: 688116),SHG,688116,"Jiangsu Cnano Technology Co Ltd is engaged in the manufacturing, research and development and commercialization of multi-wall carbon nanotubes products for the energy storage, especially lithium-ion battery paste.",TTM 3Q2023,206.62,70.31,47.87,36.56,"1,230.29",Business Products and Services (B2B),Publicly Held,Formerly VC-backed,"Manufacturing, Nanotechnology","Zhenjiang, China",15-Jul-2019,IPO,134.76,View company online
60847-57,Flexitricity,,,"Developer demand response aggregator designed to create a greener and fairer energy system. The company operates a smart grid system and provides short term operating reserve and frequency response services and provides clarity amidst complexity, enabling clients to increase asset reliability, reduce national CO2 emissions, and help to secure energy supplies.",FY 2023,191.56,6.42,0.12,-1.28,,Energy,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"CleanTech, TMT","Edinburgh, United Kingdom",09-Sep-2020,Merger/Acquisition,19.78,View company online
65628-28,Smart Metering Systems (LON: SMS),LON,SMS,"Smart Metering Systems PLC is a UK-based company which connects, owns, and maintains metering systems and database of energy companies. Its services include Smart Metering & Data; Smart Energy Services; Smart Utility Services; and ADM, which is an intelligent Automated Meter Reading (AMR) solution. The company operates in three segments: Asset Management, which comprises regulated management of gas meters, electric meters, and ADM units; Asset installation, which comprises installation of domestic and I&C gas meters and electricity meters; and Energy Management, which comprises the provision of energy consultancy services and the management of Distributed Energy Resources (DER) assets.",TTM 2Q2023,182.99,94.59,77.99,19.40,"1,210.27",Energy,Publicly Held,Corporation,CleanTech,"Glasgow, United Kingdom",07-Dec-2023,Buyout/LBO,"1,624.10",View company online
57558-34,Entrepose Contracting,,,"Provider of design and construction services for projects in the energy and environmental sectors. The company specializes in providing oil and gas onshore construction services, underground storage, marine works, drilling and other turnkey construction services.",FY 2022,157.21,,13.35,-9.68,,Business Products and Services (B2B),Acquired/Merged (Operating Subsidiary),Corporate Backed or Acquired,Oil & Gas,"Nanterre, France",11-Jul-2013,Secondary Transaction - Private,250.39,View company online
454594-51,Hexagon Purus (OSL: HPUR),OSL,HPUR,"Hexagon Purus ASA is a provider of Hydrogen Type 4 high-pressure cylinders, complete vehicle systems and battery packs for fuel cell electric and battery electric vehicles including hybrid mobility applications on light, medium and heavy-duty vehicles, buses, marine, rail, and aerospace. The company has its geographic presence in Norway, Europe, North America and Others.",TTM 3Q2023,126.54,46.44,-41.00,-58.91,347.82,Energy,Publicly Held,Corporation,"CleanTech, Manufacturing","Alesund, Norway",01-Mar-2023,PIPE,48.84,View company online
231110-83,Energy (Energy Storage) (MIL: ENY),MIL,ENY,"Energy SpA offers storage systems for energy from renewable sources. The systems developed and marketed are integrated with proprietary software that allows customers to manage intelligently, in a cloud platform, the monitoring and the process of storage, energy use, consumption, and energy traffic. The company offers two product categories Small & Large ESS category, consisting of energy storage systems of less than 50 kw; and Extra Large ESS category, consisting of energy storage systems of more than 50 kw.",TTM 2Q2023,118.64,33.42,26.06,18.23,206.73,Business Products and Services (B2B),Publicly Held,Corporation,,"Rovereto, Italy",01-Aug-2022,IPO,27.81,View company online
10785-70,Blueknight Energy Partners,,,"Blueknight Energy Partners LP is a limited partnership operating in the US. The company is engaged in providing storage, gathering, and distribution services that support the domestic transportation infrastructure markets.",TTM 2Q2022,118.55,,50.58,,559.65,Energy,Acquired/Merged (Operating Subsidiary),Formerly PE-Backed,"Industrials, Infrastructure, Oil & Gas","Oklahoma City, OK",17-Aug-2022,Merger/Acquisition,552.70,View company online
13212-91,Boston Power,,,"Developer of lithium-ion battery technology designed to improve the quality and safety of energy storage technologies. The company's lithium-ion battery technology delivers unmatched capabilities for Battery Electric and Plug-In Hybrid Electric Vehicles (BEV/PHEV), and utility energy storage applications, enabling businesses to get performance on a wide range of portable power system.",FY 2014,100.00,,,,,Business Products and Services (B2B),Acquired/Merged,Formerly VC-backed,"CleanTech, Manufacturing, Mobility Tech, TMT","Westborough, MA",02-Feb-2015,Convertible Debt,20.00,View company online
170487-10,Squeaky Clean Energy,,,"Developer of a clean energy marketplace designed to help energy consumers buy clean energy directly from renewable generators. The company's platform designs electricity supply contracts to switch over to a substitute energy source once the existing supplier fails to deliver energy and has an automated balance sheet to calculate the cost of clean energy consumed, enabling businesses to tie up with renewable energy service providers and buy energy in a cost-effective way.",FY 2021,90.92,0.64,-2.20,-2.35,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, TMT","London, United Kingdom",01-May-2018,Secondary Transaction - Private,,View company online
63228-97,Apex Energies,,,"Developer and operator of solar energy plants intended to reconcile the activity of photovoltaic developers with environmental and societal challenges. The company is recognized in the energy market as an independent producer of green energy and for its know-how as a pioneer in solar energy systems with activities ranging from designing, developing and installation of solar power plants and solar-panel systems as well as offering services that include the sale of electricity, including engineering, construction, financing and the entire operations and maintenance part of the systems, thereby helping clients reduce energy bills and carbon footprints.",FY 2022,87.83,,5.44,5.46,,Energy,Privately Held (backing),Private Equity-Backed,"CleanTech, TMT","Montpellier, France",07-Dec-2021,Buyout/LBO,,View company online
54053-11,AstroPower,,,"Manufacturer of solar cells, modules and panels intended for generating solar electric power based in Newark, Delaware. The products provide a clean, renewable source of electricity in both off-grid and on-grid applications. AstroPower began as a division of Astrosystems Inc., founded in 1983 as an outgrowth of semiconductor work initiated at the University of Delaware. In 1989, the company was incorporated in Delaware.",TTM 3Q2002,84.81,25.90,7.23,5.07,150.48,Energy,Out of Business,Corporation,"CleanTech, Manufacturing, TMT","Newark, DE",14-Apr-2004,Bankruptcy: Liquidation,,View company online
108263-98,Segen,,,"Distributor of a range of small-scale renewable energy generation systems intended to provide solar solutions at attractive prices. The company's system includes products like solar photovoltaic cells, wind turbines, solar panels, and grid-tied inverters, thus providing customers with battery storage and a wide variety of solar energy supplies at affordable prices.",FY 2022,77.64,11.29,8.19,6.53,,Energy,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"CleanTech, Climate Tech, LOHAS & Wellness, TMT","Aldershot, United Kingdom",06-Oct-2021,Merger/Acquisition,,View company online
56352-34,VYCON,,,"Manufacturer of flywheel energy storage systems. The company manufactures REGEN flywheel systems, used in power applications such as container cargo handling crane applications and light electric rail.",FY 2011,66.60,,,,,Energy,Acquired/Merged,Formerly VC-backed,Manufacturing,"Cerritos, CA",28-Apr-2020,Debt - PPP,,View company online
119523-61,Navitas Semiconductor (NAS: NVTS),NAS,NVTS,"Navitas Semiconductor Corp develops ultra-efficient gallium nitride (GaN) semiconductors that are revolutionizing power electronics. GaN power ICs integrate GaN power with drive, control, and protection to enable fast charging, high power density, and energy savings for mobile, consumer, enterprise, eMobility, and new energy markets. The company operates as one reportable segment, the design, development, manufacture and marketing of integrated circuits and related components for use in mobile device and other markets. Geographically, the company operates in China, Europe, United States, Rest of Asia and Others. Majority of revenue is generated from China.",TTM 3Q2023,65.75,25.09,-117.84,-119.98,"1,035.93",Information Technology,Publicly Held,Formerly VC-backed,"CleanTech, Climate Tech, Manufacturing, TMT","Torrance, CA",19-Oct-2021,PIPE,173.00,View company online
59629-24,GasFrac Energy Services,,,GasFrac Energy Services Inc is an oil and gas service company. It is engaged in providing liquid petroleum gas fracturing services to oil and gas companies in Canada and the United States of America. The company has developed a patented waterless Liquid Petroleum Gas gel that yields higher reservoir production while eliminating concerns over water use in fracturing.,TTM 3Q2014,55.53,-2.92,-34.39,-62.55,120.21,Energy,Privately Held (backing),Formerly PE-Backed,"Industrials, Infrastructure, Oil & Gas","Calgary, Canada",08-Jul-2015,Merger/Acquisition,,View company online
50838-49,ISE Corporation,,,"Developer of hybrid-electric drive systems and control software. The company designs and builds hybrid electric drive systems and components for heavy duty applications. It specializes in series hybrid-electric and all-electric/zero-emission technologies, and offers energy storage systems and hybrid system components.",TTM 1Q2010,52.06,0.30,-12.80,-16.76,11.11,Consumer Products and Services (B2C),Acquired/Merged,Formerly VC-backed,"CleanTech, Industrials, Mobility Tech, TMT","Poway, CA",31-Jan-2011,Merger/Acquisition,3.72,View company online
437427-01,Aton Green Storage (MIL: ATON),MIL,ATON,"Aton Green Storage SpA is an Italian company in the market for the engineering and production of storage systems for photovoltaic systems - Battery Energy Storage System. Its products include RA. Store-K, RA.Store-3, Zon.IS, G.Store, H.Store, Z.Store for new and existing plants; and Axis.T. for electric vehicle charging.",TTM 2Q2023,50.62,18.45,8.79,5.78,63.43,Energy,Publicly Held,Corporation,Manufacturing,"Spilamberto, Italy",17-Jun-2021,IPO,12.17,View company online
117253-27,Voltus,,,"Developer of a technology platform designed to connect distributed energy resources to electricity markets. The company focuses on maximizing the value of clients' flexible load, distributed generation, energy storage, energy efficiency, and electric vehicle resources, enabling clients to reduce demand from the grid during critical hours and thus generate significant cash flow and savings.",FY 2021,42.00,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, TMT","San Francisco, CA",08-Dec-2022,Later Stage VC,55.00,View company online
59660-20,Electrovaya (TSE: ELVA),TSE,ELVA,"Electrovaya Inc designs develop and manufacture proprietary lithium-ion batteries, battery systems, and battery-related products for energy storage, clean electric transportation and other specialized applications. It is a technology-focused company with extensive IP. The company generates revenue from the sale of batteries and battery systems. Business operations are segmented based on large format batteries and others. Geographically it earns key revenue from the United States.",TTM 3Q2023,38.10,9.37,0.94,-2.02,138.04,Business Products and Services (B2B),Publicly Held,Corporation,"CleanTech, Manufacturing, TMT","Mississauga, Canada",09-Nov-2022,PIPE,10.81,View company online
433137-61,Lohum,,,"Manufacturer of batteries and battery materials intended to recycle and extract valuable materials for original equipment manufacturers. The company's products include lithium-ion batteries, battery reuse or second-life resolutions for used batteries, and battery material recycling to recover valuable materials upon end-of-life such as lithium, cobalt, nickel, manganese, and carbon, enabling clients with a technology that makes battery power sources cheaper and durable.",FY 2023,37.88,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, TMT","Greater Noida, India",,Early Stage VC,35.00,View company online
51432-04,Hydrogenics,,,"Manufacturer of hydrogen generation and fuel cell products for energy storage and transportation with heavy-duty mobility applications. The company develops fuel cell products that convert hydrogen into electricity using proton exchange membrane technology, thereby enabling transit authorities to fuel and power their fleets to serve their customers with zero-emission transportation.",TTM 2Q2019,36.68,8.61,-11.56,-14.00,271.90,Energy,Acquired/Merged,Corporate Backed or Acquired,"CleanTech, Climate Tech, Manufacturing","Mississauga, Canada",30-Jun-2023,Secondary Transaction - Private,,View company online
151169-23,Romeo Power,,,"Romeo Power Inc is an energy technology company focused on designing and manufacturing lithium-ion battery modules and packs for commercial electric vehicles. Through its energy-dense battery modules and packs, Romeo Power enables large-scale sustainable transportation by delivering safer, longer-lasting batteries with a longer range and shorter charge times. With greater energy density, the company can create lightweight and efficient solutions that deliver superior performance, and provide improved acceleration, range, safety, and durability. Its modules and packs are customizable and scalable and they are optimized by its proprietary battery management system.",TTM 2Q2022,32.12,-44.21,-173.50,-176.99,28.04,Business Products and Services (B2B),Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing, Mobility Tech, TMT","Vernon, CA",14-Oct-2022,Merger/Acquisition,78.60,View company online
